Altitude,Latitude,Longitude,ICSEV,SLD,ICPRB
24000,39.5541,-75.964,2,-0.09,0.19
24000,39.5376,-75.8129,2,-0.09,0.16
24000,39.6706,-75.9426,2,-0.09,0.19
24000,39.6541,-75.7913,2,-0.09,0.19
24000,39.6374,-75.64,2,-0.09,0.19
24000,39.6206,-75.4888,1,-0.09,0.17
24000,39.6036,-75.3376,1,-0.09,0.13
24000,39.5866,-75.1865,1,-0.09,0.09
24000,39.5694,-75.0354,1,-0.09,0.07
24000,39.552,-74.8844,1,-0.09,0.03
24000,39.5346,-74.7334,4,-0.09,0.01
24000,39.7871,-75.9212,2,-0.09,0.19
24000,39.7705,-75.7697,2,-0.09,0.19
24000,39.7539,-75.6183,2,-0.09,0.19
24000,39.737,-75.4669,2,-0.09,0.19
24000,39.7201,-75.3155,1,-0.09,0.2
24000,39.703,-75.1642,1,-0.09,0.19
24000,39.6858,-75.013,1,-0.09,0.2
24000,39.6684,-74.8618,2,-0.09,0.19
24000,39.6509,-74.7106,1,-0.09,0.17
24000,39.6333,-74.5595,1,-0.09,0.14
24000,39.6156,-74.4085,1,-0.09,0.22
24000,39.5977,-74.2575,0,0,0
24000,39.5797,-74.1065,0,0,0
24000,39.5616,-73.9556,0,0,0
24000,39.5433,-73.8048,0,0,0
24000,39.9035,-75.8997,2,-0.09,0.15
24000,39.8869,-75.7481,2,-0.09,0.19
24000,39.8702,-75.5964,2,-0.09,0.19
24000,39.8534,-75.4449,2,-0.09,0.19
24000,39.8364,-75.2934,2,-0.09,0.19
24000,39.8193,-75.1419,2,-0.09,0.19
24000,39.8021,-74.9905,2,-0.09,0.19
24000,39.7848,-74.8391,2,-0.09,0.19
24000,39.7673,-74.6878,2,-0.09,0.2
24000,39.7496,-74.5365,1,-0.09,0.19
24000,39.7319,-74.3853,1,-0.09,0.26
24000,39.714,-74.2342,0,0,0
24000,39.696,-74.0831,0,0,0
24000,39.6779,-73.932,0,0,0
24000,39.6596,-73.781,0,0,0
24000,39.6412,-73.63,0,0,0
24000,39.6226,-73.4791,0,0,0
24000,39.604,-73.3283,0,0,0
24000,39.5852,-73.1775,0,0,0
24000,39.5662,-73.0268,0,0,0
24000,39.5472,-72.8761,0,0,0
24000,40.0363,-76.0301,2,-0.09,0.19
24000,40.0198,-75.8782,2,-0.09,0.17
24000,40.0033,-75.7264,2,-0.09,0.19
24000,39.9865,-75.5746,2,-0.09,0.19
24000,39.9697,-75.4228,2,-0.09,0.16
24000,39.9527,-75.2712,2,-0.09,0.15
24000,39.9356,-75.1195,2,-0.09,0.16
24000,39.9184,-74.9679,2,-0.09,0.19
24000,39.901,-74.8164,2,-0.09,0.2
24000,39.8835,-74.6649,2,-0.09,0.2
24000,39.8659,-74.5135,2,-0.09,0.2
24000,39.8481,-74.3621,1,-0.09,0.19
24000,39.8302,-74.2108,1,-0.09,0.27
24000,39.8122,-74.0595,0,0,0
24000,39.7941,-73.9083,0,0,0
24000,39.7758,-73.7571,0,0,0
24000,39.7574,-73.606,0,0,0
24000,39.7388,-73.455,0,0,0
24000,39.7201,-73.304,0,0,0
24000,39.7013,-73.153,0,0,0
24000,39.6824,-73.0021,0,0,0
24000,39.6633,-72.8513,0,0,0
24000,39.6441,-72.7005,0,0,0
24000,39.6248,-72.5497,0,0,0
24000,39.6053,-72.3991,0,0,0
24000,39.5857,-72.2484,0,0,0
24000,39.566,-72.0979,0,0,0
24000,40.1525,-76.0086,2,-0.09,0.19
24000,40.1361,-75.8566,2,-0.09,0.19
24000,40.1195,-75.7046,2,-0.09,0.19
24000,40.1028,-75.5527,2,-0.09,0.17
24000,40.0859,-75.4008,2,-0.09,0.12
24000,40.0689,-75.2489,1,-0.09,0.08
24000,40.0518,-75.0971,1,-0.09,0.08
24000,40.0346,-74.9454,2,-0.09,0.14
24000,40.0172,-74.7937,2,-0.09,0.19
24000,39.9997,-74.642,2,-0.09,0.19
24000,39.9821,-74.4904,2,-0.09,0.2
24000,39.9643,-74.3389,1,-0.09,0.19
24000,39.9464,-74.1874,1,-0.09,0.2
24000,39.9284,-74.036,1,-0.09,0.26
24000,39.9102,-73.8846,0,0,0
24000,39.8919,-73.7332,0,0,0
24000,39.8735,-73.582,0,0,0
24000,39.8549,-73.4307,0,0,0
24000,39.8362,-73.2796,0,0,0
24000,39.8174,-73.1284,0,0,0
24000,39.7985,-72.9774,0,0,0
24000,39.7794,-72.8264,0,0,0
24000,39.7602,-72.6754,0,0,0
24000,39.7408,-72.5245,0,0,0
24000,39.7213,-72.3737,0,0,0
24000,39.7017,-72.2229,0,0,0
24000,39.682,-72.0722,0,0,0
24000,40.2687,-75.9872,2,-0.09,0.16
24000,40.2523,-75.835,2,-0.09,0.16
24000,40.2357,-75.6828,2,-0.09,0.18
24000,40.2189,-75.5307,2,-0.09,0.19
24000,40.2021,-75.3786,2,-0.09,0.11
24000,40.1851,-75.2266,1,-0.09,0.06
24000,40.168,-75.0746,1,-0.09,0.06
24000,40.1507,-74.9227,2,-0.09,0.09
24000,40.1333,-74.7709,2,-0.09,0.13
24000,40.1158,-74.6191,2,-0.09,0.17
24000,40.0982,-74.4673,2,-0.09,0.19
24000,40.0804,-74.3156,1,-0.09,0.19
24000,40.0625,-74.1639,1,-0.09,0.2
24000,40.0444,-74.0123,1,-0.09,0.2
24000,40.0263,-73.8608,0,0,0
24000,40.008,-73.7093,0,0,0
24000,39.9895,-73.5578,0,0,0
24000,39.971,-73.4064,0,0,0
24000,39.9523,-73.2551,0,0,0
24000,39.9334,-73.1038,0,0,0
24000,39.9145,-72.9526,0,0,0
24000,39.8954,-72.8014,0,0,0
24000,39.8761,-72.6503,0,0,0
24000,39.8568,-72.4993,0,0,0
24000,39.8373,-72.3483,0,0,0
24000,39.8177,-72.1973,0,0,0
24000,39.7979,-72.0464,0,0,0
24000,40.3849,-75.9657,2,-0.09,0.16
24000,40.3684,-75.8133,2,-0.09,0.16
24000,40.3518,-75.661,1,-0.09,0.16
24000,40.335,-75.5087,2,-0.09,0.18
24000,40.3182,-75.3564,2,-0.09,0.14
24000,40.3012,-75.2043,1,-0.09,0.08
24000,40.284,-75.0521,1,-0.09,0.08
24000,40.2668,-74.9,2,-0.09,0.09
24000,40.2494,-74.748,2,-0.09,0.1
24000,40.2319,-74.596,2,-0.09,0.12
24000,40.2142,-74.4441,2,-0.09,0.15
24000,40.1964,-74.2922,2,-0.09,0.18
24000,40.1785,-74.1404,2,-0.09,0.18
24000,40.1604,-73.9886,2,-0.09,0.2
24000,40.1423,-73.8369,1,-0.09,0.18
24000,40.1239,-73.6853,1,-0.09,0.18
24000,40.1055,-73.5337,0,0,0
24000,40.0869,-73.3821,0,0,0
24000,40.0682,-73.2306,0,0,0
24000,40.0494,-73.0792,0,0,0
24000,40.0304,-72.9278,0,0,0
24000,40.0113,-72.7764,0,0,0
24000,39.9921,-72.6252,0,0,0
24000,39.9727,-72.4739,0,0,0
24000,39.9532,-72.3228,0,0,0
24000,39.9336,-72.1717,0,0,0
24000,39.9138,-72.0206,0,0,0
24000,40.5009,-75.9441,2,-0.09,0.16
24000,40.4844,-75.7916,2,-0.09,0.16
24000,40.4678,-75.6391,2,-0.09,0.16
24000,40.4511,-75.4866,1,-0.09,0.16
24000,40.4342,-75.3342,1,-0.09,0.15
24000,40.4172,-75.1819,2,-0.09,0.12
24000,40.4,-75.0296,2,-0.09,0.12
24000,40.3828,-74.8773,2,-0.09,0.1
24000,40.3654,-74.7251,2,-0.09,0.1
24000,40.3478,-74.573,2,-0.09,0.13
24000,40.3302,-74.4209,2,-0.09,0.15
24000,40.3124,-74.2688,2,-0.09,0.15
24000,40.2944,-74.1168,2,-0.09,0.15
24000,40.2764,-73.9649,2,-0.09,0.17
24000,40.2582,-73.813,2,-0.09,0.18
24000,40.2399,-73.6612,1,-0.09,0.18
24000,40.2214,-73.5094,1,-0.09,0.18
24000,40.2028,-73.3577,0,0,0
24000,40.1841,-73.206,0,0,0
24000,40.1652,-73.0544,0,0,0
24000,40.1463,-72.9029,0,0,0
24000,40.1271,-72.7514,0,0,0
24000,40.1079,-72.5999,0,0,0
24000,40.0885,-72.4485,0,0,0
24000,40.069,-72.2972,0,0,0
24000,40.0494,-72.1459,0,0,0
24000,40.0296,-71.9947,0,0,0
24000,40.6169,-75.9225,1,-0.09,0.17
24000,40.6004,-75.7698,2,-0.09,0.16
24000,40.5838,-75.6171,2,-0.09,0.16
24000,40.567,-75.4645,2,-0.09,0.16
24000,40.5501,-75.3119,1,-0.09,0.16
24000,40.5331,-75.1594,1,-0.09,0.16
24000,40.516,-75.0069,2,-0.09,0.16
24000,40.4987,-74.8545,2,-0.09,0.14
24000,40.4813,-74.7022,2,-0.09,0.15
24000,40.4637,-74.5498,2,-0.09,0.18
24000,40.4461,-74.3976,2,-0.09,0.18
24000,40.4282,-74.2454,2,-0.09,0.18
24000,40.4103,-74.0932,2,-0.09,0.18
24000,40.3922,-73.9411,2,-0.09,0.18
24000,40.374,-73.7891,2,-0.09,0.17
24000,40.3557,-73.6371,2,-0.09,0.17
24000,40.3372,-73.4851,1,-0.09,0.16
24000,40.3186,-73.3333,1,-0.09,0.15
24000,40.2999,-73.1814,0,0,0
24000,40.281,-73.0296,0,0,0
24000,40.262,-72.8779,0,0,0
24000,40.2429,-72.7263,0,0,0
24000,40.2237,-72.5747,0,0,0
24000,40.2043,-72.4231,0,0,0
24000,40.1848,-72.2716,0,0,0
24000,40.1651,-72.1202,0,0,0
24000,40.7328,-75.9008,1,-0.09,0.17
24000,40.7163,-75.7479,1,-0.09,0.16
24000,40.6997,-75.5951,1,-0.09,0.16
24000,40.6829,-75.4423,2,-0.09,0.16
24000,40.666,-75.2896,1,-0.09,0.16
24000,40.649,-75.1369,1,-0.09,0.16
24000,40.6318,-74.9843,1,-0.09,0.16
24000,40.6145,-74.8317,2,-0.09,0.18
24000,40.5971,-74.6792,2,-0.09,0.18
24000,40.5796,-74.5267,2,-0.09,0.18
24000,40.5619,-74.3742,2,-0.09,0.18
24000,40.5441,-74.2219,2,-0.09,0.18
24000,40.5261,-74.0696,2,-0.09,0.18
24000,40.508,-73.9173,2,-0.09,0.18
24000,40.4898,-73.7651,2,-0.09,0.18
24000,40.4715,-73.6129,2,-0.09,0.17
24000,40.453,-73.4608,1,-0.09,0.14
24000,40.4344,-73.3087,1,-0.09,0.12
24000,40.4156,-73.1568,0,0,0
24000,40.3968,-73.0048,0,0,0
24000,40.3778,-72.8529,0,0,0
24000,40.3586,-72.7011,0,0,0
24000,40.3394,-72.5493,0,0,0
24000,40.32,-72.3976,0,0,0
24000,40.3004,-72.2459,0,0,0
24000,40.2808,-72.0943,0,0,0
24000,40.865,-76.0322,1,-0.09,0.17
24000,40.8486,-75.8791,1,-0.09,0.17
24000,40.8321,-75.7261,1,-0.09,0.16
24000,40.8155,-75.5731,1,-0.09,0.11
24000,40.7987,-75.4201,1,-0.09,0.08
24000,40.7818,-75.2672,1,-0.09,0.1
24000,40.7648,-75.1143,1,-0.09,0.15
24000,40.7476,-74.9615,1,-0.09,0.16
24000,40.7303,-74.8088,1,-0.09,0.16
24000,40.7129,-74.6561,1,-0.09,0.15
24000,40.6953,-74.5035,2,-0.09,0.18
24000,40.6776,-74.3509,2,-0.09,0.18
24000,40.6598,-74.1983,2,-0.09,0.18
24000,40.6418,-74.0458,2,-0.09,0.18
24000,40.6237,-73.8934,2,-0.09,0.18
24000,40.6055,-73.741,2,-0.09,0.18
24000,40.5872,-73.5887,2,-0.09,0.18
24000,40.5687,-73.4364,2,-0.09,0.17
24000,40.5501,-73.2842,1,-0.09,0.13
24000,40.5313,-73.132,1,-0.09,0.14
24000,40.5124,-72.9799,1,-0.09,0.19
24000,40.4934,-72.8279,0,0,0
24000,40.4743,-72.6759,0,0,0
24000,40.455,-72.5239,0,0,0
24000,40.4356,-72.3721,0,0,0
24000,40.4161,-72.2202,0,0,0
24000,40.3964,-72.0685,0,0,0
24000,40.9808,-76.0106,1,-0.09,0.17
24000,40.9644,-75.8574,1,-0.09,0.17
24000,40.9479,-75.7041,1,-0.09,0.16
24000,40.9312,-75.551,1,-0.09,0.16
24000,40.9144,-75.3978,1,-0.09,0.07
24000,40.8975,-75.2448,1,-0.09,0.05
24000,40.8805,-75.0917,1,-0.09,0.07
24000,40.8633,-74.9388,1,-0.09,0.1
24000,40.846,-74.7859,1,-0.09,0.14
24000,40.8286,-74.633,1,-0.09,0.16
24000,40.811,-74.4802,1,-0.09,0.15
24000,40.7933,-74.3274,1,-0.09,0.15
24000,40.7754,-74.1747,2,-0.09,0.18
24000,40.7575,-74.022,2,-0.09,0.18
24000,40.7394,-73.8694,2,-0.09,0.18
24000,40.7211,-73.7169,2,-0.09,0.18
24000,40.7028,-73.5644,2,-0.09,0.18
24000,40.6843,-73.412,2,-0.09,0.18
24000,40.6657,-73.2596,2,-0.09,0.13
24000,40.6469,-73.1072,1,-0.09,0.13
24000,40.628,-72.955,1,-0.09,0.19
24000,40.609,-72.8028,1,-0.09,0.19
24000,40.5898,-72.6506,1,-0.09,0.19
24000,40.5706,-72.4985,0,0,0
24000,40.5511,-72.3464,1,-0.09,0.19
24000,40.5316,-72.1945,1,-0.09,0.19
24000,40.5119,-72.0425,0,0,0
24000,41.0965,-75.989,1,-0.09,0.17
24000,41.0801,-75.8355,1,-0.09,0.17
24000,41.0635,-75.6822,1,-0.09,0.16
24000,41.0469,-75.5288,1,-0.09,0.16
24000,41.0301,-75.3755,1,-0.09,0.16
24000,41.0132,-75.2223,1,-0.09,0.16
24000,40.9961,-75.0691,1,-0.09,0.09
24000,40.9789,-74.916,1,-0.09,0.04
24000,40.9616,-74.7629,1,-0.09,0.06
24000,40.9442,-74.6098,1,-0.09,0.12
24000,40.9266,-74.4568,1,-0.09,0.15
24000,40.9089,-74.3039,1,-0.09,0.15
24000,40.891,-74.151,1,-0.09,0.15
24000,40.8731,-73.9982,1,-0.09,0.15
24000,40.8549,-73.8454,1,-0.09,0.15
24000,40.8367,-73.6927,1,-0.09,0.15
24000,40.8183,-73.5401,2,-0.09,0.18
24000,40.7998,-73.3875,2,-0.09,0.19
24000,40.7812,-73.2349,2,-0.09,0.12
24000,40.7624,-73.0824,1,-0.09,0.09
24000,40.7435,-72.93,2,-0.09,0.19
24000,40.7245,-72.7776,1,-0.09,0.19
24000,40.7053,-72.6253,1,-0.09,0.19
24000,40.686,-72.473,1,-0.09,0.19
24000,40.6666,-72.3208,1,-0.09,0.19
24000,40.647,-72.1686,1,-0.09,0.19
24000,40.6274,-72.0165,0,0,0
24000,41.2121,-75.9673,1,-0.09,0.17
24000,41.1957,-75.8137,1,-0.09,0.17
24000,41.1791,-75.6601,1,-0.09,0.16
24000,41.1625,-75.5066,1,-0.09,0.16
24000,41.1457,-75.3532,1,-0.09,0.16
24000,41.1287,-75.1997,1,-0.09,0.16
24000,41.1117,-75.0464,1,-0.09,0.16
24000,41.0945,-74.8931,1,-0.09,0.11
24000,41.0772,-74.7398,1,-0.09,0.06
24000,41.0597,-74.5866,1,-0.09,0.07
24000,41.0421,-74.4335,1,-0.09,0.12
24000,41.0244,-74.2804,1,-0.09,0.15
24000,41.0065,-74.1273,1,-0.09,0.15
24000,40.9886,-73.9743,1,-0.09,0.15
24000,40.9704,-73.8214,1,-0.09,0.15
24000,40.9522,-73.6685,1,-0.09,0.15
24000,40.9338,-73.5157,2,-0.09,0.15
