Altitude,Latitude,Longitude,ICSEV,SLD,ICPRB
19000,39.5541,-75.964,5,-0.09,0.65
19000,39.5376,-75.8129,2,-0.09,0.51
19000,39.6706,-75.9426,5,-0.09,0.48
19000,39.6541,-75.7913,2,-0.09,0.39
19000,39.6374,-75.64,2,-0.09,0.33
19000,39.6206,-75.4888,2,-0.09,0.16
19000,39.6036,-75.3376,2,-0.09,0.09
19000,39.5866,-75.1865,2,-0.09,0.07
19000,39.5694,-75.0354,2,-0.09,0.07
19000,39.552,-74.8844,4,-0.09,0.03
19000,39.5346,-74.7334,4,-0.09,0.03
19000,39.7871,-75.9212,5,-0.09,0.48
19000,39.7705,-75.7697,5,-0.09,0.48
19000,39.7539,-75.6183,2,-0.09,0.44
19000,39.737,-75.4669,2,-0.09,0.27
19000,39.7201,-75.3155,2,-0.09,0.19
19000,39.703,-75.1642,1,-0.09,0.1
19000,39.6858,-75.013,1,-0.09,0.07
19000,39.6684,-74.8618,2,-0.09,0.07
19000,39.6509,-74.7106,4,-0.09,0.03
19000,39.6333,-74.5595,0,0,0
19000,39.6156,-74.4085,0,0,0
19000,39.5977,-74.2575,0,0,0
19000,39.5797,-74.1065,0,0,0
19000,39.5616,-73.9556,1,-0.09,0.34
19000,39.5433,-73.8048,1,-0.09,0.34
19000,39.9035,-75.8997,5,-0.09,0.47
19000,39.8869,-75.7481,5,-0.09,0.47
19000,39.8702,-75.5964,5,-0.09,0.46
19000,39.8534,-75.4449,5,-0.09,0.46
19000,39.8364,-75.2934,2,-0.09,0.3
19000,39.8193,-75.1419,2,-0.09,0.21
19000,39.8021,-74.9905,2,-0.09,0.15
19000,39.7848,-74.8391,2,-0.09,0.12
19000,39.7673,-74.6878,2,-0.09,0.11
19000,39.7496,-74.5365,1,-0.09,0.04
19000,39.7319,-74.3853,4,0,0.05
19000,39.714,-74.2342,0,0,0
19000,39.696,-74.0831,1,-0.09,0.34
19000,39.6779,-73.932,1,-0.09,0.34
19000,39.6596,-73.781,1,-0.09,0.34
