Altitude,Latitude,Longitude,ICSEV,SLD,ICPRB
1000,39.5541,-75.964,0,0,0
1000,39.5376,-75.8129,0,0,0
1000,39.6706,-75.9426,0,0,0
1000,39.6541,-75.7913,0,0,0
1000,39.6374,-75.64,0,0,0
1000,39.6206,-75.4888,0,0,0
1000,39.6036,-75.3376,0,0,0
1000,39.5866,-75.1865,0,0,0
1000,39.5694,-75.0354,0,0,0
1000,39.552,-74.8844,0,0,0
1000,39.5346,-74.7334,0,0,0
1000,39.7871,-75.9212,0,0,0
1000,39.7705,-75.7697,0,0,0
1000,39.7539,-75.6183,0,0,0
1000,39.737,-75.4669,0,0,0
1000,39.7201,-75.3155,0,0,0
1000,39.703,-75.1642,0,0,0
1000,39.6858,-75.013,0,0,0
1000,39.6684,-74.8618,0,0,0
1000,39.6509,-74.7106,0,0,0
1000,39.6333,-74.5595,0,0,0
1000,39.6156,-74.4085,0,0,0
1000,39.5977,-74.2575,0,0,0
1000,39.5797,-74.1065,0,0,0
1000,39.5616,-73.9556,0,0,0
1000,39.5433,-73.8048,0,0,0
1000,39.9035,-75.8997,0,0,0
1000,39.8869,-75.7481,0,0,0
1000,39.8702,-75.5964,0,0,0
1000,39.8534,-75.4449,0,0,0
1000,39.8364,-75.2934,0,0,0
1000,39.8193,-75.1419,0,0,0
1000,39.8021,-74.9905,0,0,0
1000,39.7848,-74.8391,0,0,0
1000,39.7673,-74.6878,0,0,0
1000,39.7496,-74.5365,0,0,0
1000,39.7319,-74.3853,0,0,0
1000,39.714,-74.2342,0,0,0
1000,39.696,-74.0831,0,0,0
1000,39.6779,-73.932,0,0,0
1000,39.6596,-73.781,0,0,0
1000,39.6412,-73.63,0,0,0
1000,39.6226,-73.4791,0,0,0
1000,39.604,-73.3283,0,0,0
1000,39.5852,-73.1775,0,0,0
1000,39.5662,-73.0268,0,0,0
1000,39.5472,-72.8761,0,0,0
1000,40.0363,-76.0301,0,0,0
1000,40.0198,-75.8782,0,0,0
1000,40.0033,-75.7264,0,0,0
1000,39.9865,-75.5746,0,0,0
1000,39.9697,-75.4228,0,0,0
1000,39.9527,-75.2712,0,0,0
1000,39.9356,-75.1195,0,0,0
1000,39.9184,-74.9679,0,0,0
1000,39.901,-74.8164,0,0,0
1000,39.8835,-74.6649,0,0,0
1000,39.8659,-74.5135,0,0,0
1000,39.8481,-74.3621,0,0,0
1000,39.8302,-74.2108,0,0,0
1000,39.8122,-74.0595,0,0,0
